Name,Roll No,CGPA
Aarav Sharma,101,8.7
Ishita Verma,102,9.1
Rohan Gupta,103,7.8
Sneha Reddy,104,8.3
Aditya Nair,105,7.5
Priya Singh,106,8.9
Vikram Patel,107,9.2
Meera Iyer,108,8.4
Karthik Menon,109,7.6
Simran Kaur,110,8.8
Rahul Das,111,7.9
Ananya Mishra,112,9.3
Siddharth Roy,113,8.1
Neha Joshi,114,8.6
Arjun Rathi,115,7.7
Pooja Deshmukh,116,8.2
Ravi Kumar,117,7.4
Divya Kapoor,118,8.5
Nikhil Jain,119,7.3
Tanvi Chawla,120,8.0
Manish Bhat,121,7.2
Shreya Ghosh,122,9.0
Amit Sinha,123,7.1
Kavya Pillai,124,8.3
